date,Brand,Batch,FV,Notes,Fermentation Start Date/Time,Test Operation,Test,gravity_test,date,temp_test,date
2019-03-14 10:34:10,White,F16353,B19,,2019-03-05 23:01:00,Cold,GRAVITY,2.41,2019-03-14 10:34:10,59.9,2019-03-14 10:34:10
2019-03-15 11:52:01,White,F16401,B04,,2019-03-14 05:11:00,Day 2,GRAVITY,7.97,2019-03-15 11:52:01,65.8,2019-03-15 11:52:01
2019-03-15 12:06:35,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Day 2,GRAVITY,8.19,2019-03-15 12:06:35,65.3,2019-03-15 12:06:35
2019-03-15 12:10:46,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,4.49,2019-03-15 12:10:46,68.3,2019-03-15 12:10:46
2019-03-15 12:16:29,White,F16385,B06,,2019-03-12 13:40:00,Gravity Check,GRAVITY,2.74,2019-03-15 12:16:29,68.4,2019-03-15 12:16:29
2019-03-15 12:20:41,White,F16377,B14,,2019-03-12 03:34:00,Gravity Check,GRAVITY,2.59,2019-03-15 12:20:41,68.7,2019-03-15 12:20:41
2019-03-15 12:34:53,White,F16361,B15,,2019-03-06 18:27:00,Cold,GRAVITY,2.44,2019-03-15 12:34:53,60.0,2019-03-15 12:34:53
2019-03-16 12:31:34,White,F16377,B14,,2019-03-12 03:34:00,Gravity Check,GRAVITY,2.61,2019-03-16 12:31:34,68.5,2019-03-16 12:31:34
2019-03-16 12:42:41,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Gravity Check,GRAVITY,4.8,2019-03-16 12:42:41,68.6,2019-03-16 12:42:41
2019-03-16 13:00:35,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,3.25,2019-03-16 13:00:35,68.9,2019-03-16 13:00:35
2019-03-16 13:03:30,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,2.66,2019-03-16 13:03:30,68.1,2019-03-16 13:03:30
2019-03-16 13:06:23,White,F16385,B06,,2019-03-12 13:40:00,Gravity Check,GRAVITY,2.48,2019-03-16 13:06:23,68.5,2019-03-16 13:06:23
2019-03-17 15:56:18,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,2.57,2019-03-17 15:56:18,68.1,2019-03-17 15:56:18
2019-03-17 15:56:41,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,2.65,2019-03-17 15:56:41,67.6,2019-03-17 15:56:41
2019-03-17 15:57:38,White,F16377,B14,,2019-03-12 03:34:00,Gravity Check,GRAVITY,2.54,2019-03-17 15:57:38,68.3,2019-03-17 15:57:38
2019-03-17 15:58:09,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Gravity Check,GRAVITY,2.78,2019-03-17 15:58:09,68.8,2019-03-17 15:58:09
2019-03-18 09:29:23,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,2.65,2019-03-18 09:29:23,67.6,2019-03-18 09:29:23
2019-03-18 09:40:17,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Gravity Check,GRAVITY,2.55,2019-03-18 09:40:17,68.4,2019-03-18 09:40:17
2019-03-18 09:49:31,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,2.58,2019-03-18 09:49:31,67.4,2019-03-18 09:49:31
2019-03-18 10:18:15,White,F16385,B06,,2019-03-12 13:40:00,Gravity Check,GRAVITY,2.51,2019-03-18 10:18:15,67.5,2019-03-18 10:18:15
2019-03-18 10:25:01,White,F16377,B14,,2019-03-12 03:34:00,Gravity Check,GRAVITY,2.47,2019-03-18 10:25:01,67.8,2019-03-18 10:25:01
2019-03-19 08:18:40,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Day 1,GRAVITY,11.3,2019-03-19 08:18:40,64.5,2019-03-19 08:18:40
2019-03-19 08:46:28,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,2.55,2019-03-19 08:46:28,67.2,2019-03-19 08:46:28
2019-03-19 08:54:39,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Gravity Check,GRAVITY,2.44,2019-03-19 08:54:39,68.2,2019-03-19 08:54:39
2019-03-19 09:02:50,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,2.43,2019-03-19 09:02:50,66.9,2019-03-19 09:02:50
2019-03-19 09:08:15,White,F16385,B06,,2019-03-12 13:40:00,Gravity Check,GRAVITY,2.45,2019-03-19 09:08:15,67.1,2019-03-19 09:08:15
2019-03-19 09:25:47,White,F16377,B14,,2019-03-12 03:34:00,Gravity Check,GRAVITY,2.48,2019-03-19 09:25:47,67.8,2019-03-19 09:25:47
2019-03-20 08:05:51,White,F16420,B10,,2019-03-19 23:06:00,Day 1,GRAVITY,11.23,2019-03-20 08:05:51,66.0,2019-03-20 08:05:51
2019-03-20 08:16:31,White,F16416,B08,,2019-03-19 13:39:00,Day 1,GRAVITY,10.68,2019-03-20 08:16:31,65.8,2019-03-20 08:16:31
2019-03-20 08:30:22,White,F16408,B18,spunding trial,2019-03-19 03:33:00,Day 2,GRAVITY,8.1,2019-03-20 08:30:22,65.6,2019-03-20 08:30:22
2019-03-20 08:46:40,White,F16401,B04,,2019-03-14 05:11:00,Gravity Check,GRAVITY,2.53,2019-03-20 08:46:40,66.7,2019-03-20 08:46:40
2019-03-20 08:56:26,White,F16393,B17,spunding trial,2019-03-13 19:01:00,Gravity Check,GRAVITY,2.43,2019-03-20 08:56:26,68.0,2019-03-20 08:56:26
2019-03-20 09:02:30,White,F16389,B03,,2019-03-12 22:56:00,Gravity Check,GRAVITY,2.52,2019-03-20 09:02:30,66.3,2019-03-20 09:02:30
2019-03-20 09:13:57,White,F16385,B06,,2019-03-12 13:40:00,Cold,GRAVITY,2.45,2019-03-20 09:13:57,57.9,2019-03-20 09:13:57
2019-03-20 09:25:50,White,F16377,B14,,2019-03-12 03:34:00,Cold,GRAVITY,2.46,2019-03-20 09:25:50,59.9,2019-03-20 09:25:50
2019-03-21 09:38:43,White,F16428,B12,,2019-03-20 18:40:00,Day 1,GRAVITY,10.65,2019-03-21 09:38:43,63.8,2019-03-21 09:38:43
